name,mtt24,mtt48
t1,117.0568562,76.44151565
t7,142.8093645,120.5930807
t9,210.367893,160.1317957
t13,213.7123746,99.01153213
t17,198.3277592,117.7924217
t23,118.0602007,78.74794069
t32,64.56521739,169.5035461
t34,60.76086957,102.3049645
t36,105.8695652,170.035461
t38,187.5,133.3333333
t40,75.76086957,173.4042553
t42,75.76086957,112.4113475
t44,78.26086957,207.9787234
t46,81.30434783,150.177305
t48,111.5217391,183.8652482
t50,124.0217391,170.5673759
t52,92.7173913,240.4255319
t54,85.0,151.7730496
t56,83.91304348,183.1560284
t58,61.30434783,165.070922
t60,50.43478261,87.94326241
t62,57.7173913,85.46099291
t62a,148.0373832,165.085639
t64,119.0654206,191.831357
t66,161.3084112,182.740448
t68,85.23364486,182.740448
t70,146.9158879,196.8379447
t72,135.5140187,144.400527
t74,174.953271,171.1462451
t76,132.7102804,183.6627141
t78,255.3271028,154.6772069
t80,202.9906542,121.0803689
t82,295.5140187,264.0316206
t84,234.953271,289.5915679
t86,229.5327103,194.8616601
t88,406.1682243,265.2173913
t90,222.2429907,232.0158103
t94,102.3809524,65.79427876
t96,72.29437229,28.48447961
t98,135.4978355,24.77175898
t100,111.038961,29.33657943
t102,158.6580087,32.80584297
t104,112.1212121,44.91783323
t106,103.2467532,42.42239805
t108,152.8138528,59.40353013
t110,210.3896104,77.29762629
t112,88.74458874,61.83810103
t114,98.7012987,61.89896531
t116,134.4155844,38.40535606
t118,109.95671,58.49056604
t120,85.93073593,75.65429093
t122,206.0606061,43.82227632
t124,152.5974026,75.65429093
t134,209.1603053,142.6773455
t138,172.1919302,129.0045767
t140,101.9629226,24.65675057
t142,172.7371865,128.0892449
t144,142.6390403,28.48970252
t146,295.2017448,98.3409611
t148,110.0327154,33.63844394
t150,203.1624864,70.65217391
t152,138.2769902,21.73913043
t154,206.9792803,41.4187643
t156,75.68157034,15.84668192
t160,90.11976048,207.5367647
t166,114.2964072,270.4044118
t170,137.6497006,267.4632353
t172,106.0628743,204.5955882
t174,187.3502994,230.1470588
t176,146.6317365,253.6764706
t178,147.9790419,203.3088235
t180,153.1437126,175.3676471
t182,136.9760479,360.6617647
t184,116.6916168,190.4411765
t186,107.1107784,366.9117647
t188,153.5179641,152.7573529
t190,172.8078818,92.71168274
t192,67.78325123,89.49624866
t194,127.3891626,259.2711683
t196,83.84236453,163.3440514
t198,115.5665025,347.8027867
t200,95.86206897,200.750268
t202,96.84729064,478.1350482
t204,88.76847291,199.6784566
t206,138.817734,284.3515541
t208,105.4187192,148.8745981
t210,125.7142857,124.8660236
t212,238.4236453,126.2593783
t214,153.0049261,216.1843516
t216,125.2216749,139.4426581
t218,113.3990148,174.812433
t220,141.2807882,168.0600214
t227,108.423913,39.15584416
t229,305.4347826,54.15584416
t233,259.7826087,67.4025974
t235,179.3478261,112.1428571
t237,352.9891304,82.46753247
t239,102.4456522,71.94805195
t241,323.9130435,121.5584416
t243,80.16304348,58.05194805
t245,247.5543478,163.7662338
t247,100.0,65.06493506
t253,139.055794,67.47032641
t255,681.1158798,14.31750742
t257,194.4206009,19.23219585
t259,315.4506438,17.08086053
t261,343.3476395,20.14094955
t263,303.8626609,23.62759644
t265,245.4935622,17.22922849
t267,452.360515,26.52077151
t269,294.8497854,12.70400593
t271,392.7038627,24.01706231
t273,307.7253219,26.59495549
t275,440.7725322,19.95548961
t277,294.4206009,15.83827893
t279,209.4420601,13.70548961
t281,277.2532189,19.88130564
t283,256.223176,14.9851632
t299,96.12015019,453.3834586
t301,194.2428035,435.0877193
t303,129.9123905,392.7318296
t305,202.5031289,474.6867168
t307,151.689612,347.8696742
t309,141.6770964,451.1278195
t311,116.7709637,473.1829574
t313,162.077597,362.9072682
t315,108.0100125,475.6892231
t317,120.7831325,102.0674646
t319,112.8012048,31.6648531
t321,172.439759,122.4156692
t323,125.3012048,39.71708379
t325,218.2228916,188.6833515
t327,193.0722892,93.0359086
t329,195.9337349,235.5821545
t331,235.8433735,105.1142546
t333,201.5060241,222.3068553
t335,231.1746988,165.8324266
t337,185.3915663,306.7464635
t339,150.9036145,263.1120783
t341,290.3614458,252.3394995
t343,241.7168675,240.2611534
t345,405.7228916,220.4570185
t347,263.5542169,263.4385201
t349,103.014553,79.90936556
t353,139.6049896,155.2870091
t355,75.77962578,57.09969789
t357,127.962578,194.1087613
t359,93.97089397,141.2386707
t361,147.0893971,257.2507553
t363,90.02079002,85.64954683
t365,163.3056133,201.0574018
t367,107.6923077,95.16616314
t369,198.7525988,190.4833837
t371,96.15384615,205.5891239
t373,201.8711019,408.0060423
t375,134.6153846,355.5891239
t377,174.8440748,458.0060423
t379,87.42203742,262.6888218
t381,131.6831683,83.88773389
t383,52.14521452,26.1954262
t385,99.889989,109.043659
t387,116.7216722,60.4989605
t389,124.0924092,156.4449064
t391,132.8932893,109.5634096
t393,94.60946095,161.4345114
t395,165.1265127,208.6278586
t397,105.9405941,172.037422
t399,93.61936194,98.85654886
t401,103.630363,151.3513514
t403,115.8415842,202.1829522
t405,119.8019802,145.8419958
t407,172.7172717,263.2016632
t409,128.7128713,66.52806653
t411,136.6336634,67.35966736
t413,229.0468986,386.24052
t415,215.128593,412.1343445
t417,216.6414523,360.9967497
t419,208.774584,307.6923077
t421,254.6142209,258.7215601
t423,162.4810893,194.5828819
t431,227.6853253,108.0173348
t433,254.311649,256.9880823
t435,224.5083207,135.4279523
t437,143.419062,180.823402
t439,176.8532526,91.00758397
t441,156.2783661,93.1744312
t443,159.3040847,87.86565547
t445,89.28571429,51.34177215
t447,75.6302521,71.5443038
t449,101.4705882,83.59493671
t451,76.2605042,92.60759494
t453,88.1302521,72.60759494
t455,74.3697479,73.01265823
t457,117.1218487,107.2405063
t459,75.0,66.63291139
t461,124.6848739,57.01265823
t463,71.53361345,52.81012658
t465,96.63865546,64.20253165
t467,51.15546218,41.92405063
t469,85.18907563,73.01265823
t473,143.0672269,62.37974684
t475,52.10084034,30.83544304
t477,130.1687764,130.4392237
t479,188.185654,157.2012257
t481,111.3924051,83.65679265
t483,150.6329114,97.24208376
t485,169.6202532,96.11848825
t487,108.4388186,73.03370787
t489,191.7721519,100.8171604
t491,190.5063291,78.14096016
t493,226.371308,118.8968335
t495,229.535865,144.3309499
t497,258.8607595,146.7824311
t499,180.8016878,81.71603677
t501,143.4599156,112.3595506
t503,211.6033755,175.7916241
t505,222.7848101,106.639428
t507,207.3839662,793.8712972
t511,59.18367347,49.46043165
t513,77.17996289,117.4460432
t515,63.91465677,85.34172662
t517,58.44155844,121.6726619
t519,46.47495362,86.96043165
t521,73.19109462,107.6438849
t523,48.7012987,101.9784173
t525,60.11131725,119.5143885
t527,51.94805195,111.6906475
t529,61.68831169,73.92086331
t531,60.57513915,83.9028777
t533,72.35621521,76.16906475
t535,75.97402597,59.89208633
t537,74.5825603,68.79496403
t539,77.17996289,84.62230216
t541,91.96840026,160.6730769
t543,88.54509546,82.98076923
t545,74.32521396,131.8269231
t547,57.14285714,98.07692308
t549,74.19354839,123.1730769
t551,61.15865701,121.9230769
t553,72.02106649,85.19230769
t555,76.56352864,89.13461538
t557,83.47597103,88.26923077
t559,99.80250165,84.42307692
t561,93.74588545,129.5192308
t563,74.52271231,88.17307692
t565,91.77090191,97.59615385
t567,79.52600395,105.4807692
t569,62.40947992,93.84615385
t571,54.80579329,66.44230769
t573,87.1007371,62.89017341
t575,81.44963145,48.20809249
t577,142.8746929,118.6127168
t579,135.5036855,100.9248555
t581,160.1965602,208.6705202
t583,149.6314496,131.5606936
t585,159.0909091,221.849711
t587,130.8353808,160.5780347
t589,153.8083538,206.1271676
t591,150.0,170.0578035
t593,178.1326781,196.9942197
t595,164.987715,194.6820809
t597,140.4176904,157.8034682
t599,133.9066339,277.5722543
t601,109.5823096,234.6820809
t603,114.6191646,331.7919075
t637,98.63829787,98.1492192
t639,117.4468085,60.20821284
t641,72.34042553,103.2388664
t643,71.91489362,72.93233083
t645,76.42553191,86.52400231
t647,60.42553191,108.0393291
t649,87.82978723,113.2446501
t651,74.12765957,109.7165992
t653,83.31914894,136.8999422
t655,96.85106383,110.5263158
t657,69.0212766,111.5095431
t659,91.23404255,82.01272412
t661,93.27659574,76.05552342
t663,102.212766,89.18449971
t665,101.6170213,77.03875072
t667,104.5957447,73.85772123
t669,149.2366412,104.9656226
t671,123.3778626,135.6760886
t673,118.7977099,131.6271963
t675,110.019084,150.3437739
t677,131.6793893,116.1191749
t679,85.49618321,92.58976318
t681,111.1641221,124.9809015
t683,92.46183206,116.2719633
t685,107.2519084,156.9900688
t687,108.4923664,118.6401833
t689,114.2175573,204.9656226
t691,91.88931298,178.8388083
t693,105.7251908,222.841864
t695,96.08778626,228.1130634
t697,79.48473282,187.8533231
t699,97.61450382,150.1145913
